country,state_province,city
Canada,British Columbia,Vancouver
Mexico,Querétaro,Querétaro
Serbia,Nišava,Nis
Saudi Arabia,Al Madinah,Madinah
Australia,Queensland,Logan
Ecuador,Pichincha,Quito
India,Odisha,Bhubaneswar
Saudi Arabia,Riyadh,Riyadh
Thailand,Udon Thani,Udon Thani
Saudi Arabia,Makkah,Mecca
Jordan,Amman,Amman
Philippines,Benguet,Baguio
Saudi Arabia,Eastern Province,Dammam
Serbia,Šumadija,Kragujevac
Turkey,Bursa,Nilufer
Colombia,Valle del Cauca,Cali
Colombia,Bolívar,Cartagena
Ecuador,Manabí,Manta
Colombia,Antioquia,Medellin
Ecuador,Manabí,Portoviejo
Chile,Libertador General Bernardo O'Higgins,San Fernando
Peru,Lima,Chancay
Palestine,Nablus,Nablus
Japan,Hiroshima,Higashi Hiroshima
Japan,Tokyo,Shibuya Tokyo
Japan,Kanagawa,Yokohama
Italy,Emilia-Romagna,Bologna
Chile,Tarapacá,Iquique
Palestine,Ramallah,Ramallah
Turkey,İstanbul,Istanbul
United Kingdom,England,Manchester
Indonesia,Central Java,Semarang
South Korea,Seoul,Seoul
Serbia,Zaječar,Sokobanja
Turkey,İstanbul,Sultanbeyli
Bangladesh,Dhaka,Dhaka
Kenya,Nyanza,Homa Bay
Kenya,Coast,Mombasa
Mozambique,Zambezia,Quelimane
Serbia,Pčinja,Surdulica
Serbia,Pčinja,Vranje
Serbia,Raška,Vrnjacka Banja
Saudi Arabia,Al Bahah,Al Baha
Saudi Arabia,Makkah,Jeddah
Saudi Arabia,'Asir,Abha
Saudi Arabia,Al Madinah,Al Ula
Turkey,İstanbul,Esenler
Jordan,Irbid,Irbid
Argentina,Buenos Aires,Buenos Aires
Chile,Santiago,Santiago
Chile,Santiago,Renca
